id,tweet
1142122560408174592,você 07:01 na unb. 
1142121115424215040,"está aberto o prazo para envio de trabalhos para a iii jornada discente de comunicação (jdc). o evento ocorrerá na fac, nos dias 15 e 16 de agosto, sem cobrança de taxa de inscrição. saiba mais: "
1142120985296035840,"felicidade do dia foi saber que já passei nas matérias que tenho segunda-feira e não precisar mais ir pra unb 🙌🏻 gratidão, acaba semestre pfvr"
1142119113118113792,alguém que pega matéria sexta sabe me dizer se hoje tem aula na unb???
1142118951834591233,pcdf: estudante desaparecido da unb comprou passagem para goiânia 
1142118647160328193,"aula dupla emendou o feriado, tô feliz e puto por ter vindo pra unb"
1142118230519111681,"nos dias 24 e 25 de junho acontece, no memorial darcy ribeiro, o seminário ""memorial darcy ribeiro: memórias, reflexões e caminhos"". as inscrições acontecem às 9h, confira a programação do evento: "
1142117879078445057,vem unb
1142117262289227777,não creio que tô indo na unb hoje só pra renovar um livro
1142117209734569984,"o  n o v a s, vem unb pra nós duas carai"
1142117045917618183,"vei, quero biomed mas não tem na unb 😭😭 to cheia de dúvida"
1142117032302764032,universidade de brasília dá calote de r$200 milhões na conta de luz e fragiliza ceb via  
1142115830429364224,"vocês estão entendendo quetem vestígios de humanos e artefatos milenares ali? é a nossa história escrita através de objetos e pessoas, meu deus, eu to surtandooooo   "
1142113696078077952,"já eu, vivo pelo lema do toretto:  “não importa se é por 1 quilômetro ou 1 centímetro, vencer é vencer”  se o objetivo foi alcançado, já tá ótimo.  ex: na minha realidade na unb, não faz diferença nenhuma no meu currículo um mm ou ss, então o negócio é aprender e passar, fim "
1142112421877862404,"a melhor parte em ter uma cliente da unb, é que ela te ensina os paranauês das provas. sinceramente o que ando aprendendo vale mais do que o que ela está me pagando 📝"
1142111406390685696,"a notificação mais gostosa de hj foi a que dizia ""estaremos, em breve, juntos em brasília para o nosso xvi congresso internacional da abralic, na universidade de brasília (unb)"" obrigada gmail alegrou meu dia 💞"
1142111335091724288,"nunca vi a unb tão vazia, tá dando medo real"
1142110092642402304,conheci o josé pacheco hoje na unb. fiquei tão impressionada e emocionada com a simplicidade dele que o máximo que eu consegui foi pedir um autógrafo. queria ter conseguido falar pra ele como ele me inspira como educadora! só espero que ele tenha sentido ❤️ 
1142108980963086337,o ruim é se sentir cansado e abrir mão dos ss/ms devido ao sistema de notas da unb....
1142108525675479040,eu triste q tive q vir pra unb 
1142107304504025090,"porra minha nota na redação do vestibular da unb foi muito boaa aaaaaaaa, melhor que a do pas, só fiquei bolada pq tirei 10 na macroestrutura dnv e perdi na micro aaaaaaa"
1142107009464045573,tomara q hoje tenha lanche na unb igual os outros cursos 👍🏻
1142105819514855424,"comprei marmita vegetariana por 10 reais com refri, farofa e salada grátis unb você é perfeita"
1142105572126466048,o icc da unb me deixou mais confusa do que eu já tava quanto ao meu curso  que lugar lindo
1142104769248595969,todo semestre tô reprovando duas matérias na unb aí chega minha mãe e pergunta se eu quero aula particular sendo que a gente não tem dinheiro nem pra eu almoçar lá todo diakkkkkk amém auxílio socioeconômico ru de graça
1142104203143405572,vem p unb que a gnt resolve os 2 :)
1142104196591837184,nossa eu vou hj pra unb com a força do ódio
1142102420513787905,passar seis horas no estágio fazendo um total de zero coisas pq a unb tá vazia e não vai aparecer ngm nesse caralho 
1142100060336996352,ignorei o fato de q a unb n emendou esse feriado e agr to de ressaca fugindo das obrigações acadêmicas 🤧🙃
1142098518687047680,"a unb está vazia, só queria minha casinha"
1142098456464502784,"meus amigoa me deixaram em casa e depois deixaram nick na unb. eu tomei banho, deitei e dormi tanto q tô tonta."
1142098145305866240,"um dia tenho uma crise de depressão fudida, no outro recebo uma mensagem que algumas dicas de leitura minha ajudaram alguém a passar no processo de seleção de doutoramento na unb. acho que o clio atingiu seu ápice como veículo de comunicação acadêmica"
1142097404017225729,falta quase um mês pra eu entrar na unb e eu tô com o cu na mão meu deus
1142096179003400192,tem ninguém absolutamente ninguém na unb .....sei lá vey ....🤦🏾‍♀️
1142094454762946561,aff a unb solta só as notas das questões do tipo d e da redação  parabéns unb por deixar os vestibulandos mais ansiosos do que já estão
1142094214412558336,"aí miga, mas até eu ir na unb... esse foi do lado do meu trabalho kkkkkkk"
1142092158591258625,tenho que ir para a unb mas tipo sem coragem e disposição
1142091994266779649,a reitoria da unb é muito linda... estou completamente boba com toda essa beleza
1142091851110998017,hoje vai ser só eu e o bb no ódio fazendo os trabalho da unb
1142091059046035457,considerando seriamente ir de pijama pra unb ta mto dificil fazer esforços no dia de hoje
1142090584573841409,tô chegando na unb mas era pra eu estar desembarcando em são paulo
1142089298155622400,fui pra unb  não tinha aula infernoooooooo
1142087977486770177,"ainda bem que não tem quase ninguém na unb pq eu tô todo descabelado, meu pai kkkkk"
1142087663417274368,"ok, mas eu nem sabia que tinha gente vendendo donuts na unb akjkaka"
1142087569582280705,"oi portanova! ontem nossa startup  saiu no #df2 na  ♥️  mas na reportagem dizia que nós somos da unb, mas nós não somos, tá? só somos de bsb mesmo!  e muito obrigada pelo reconhecimento! parabéns à toda a equipe e ao geraldo! #df1"
1142086238284988416,alguém traz uma sobremesa p mim aqui na unb
1142085867932176384,"tenho que terminar o resumo de ieri hoje pra ir na unb amanhã imprimir, pois me recuso a pagar 50 centavos em cada folha"
1142084973366845440,saiba mais: 
1142084364295188481,"sobre a redação da unb  ""ela chegou na voadara"""
1142083833229127680,cota racial é falar que o negro não é tão capaz quanto o branco. meus 3 melhores amigos são negros e dois estão na unb é um passou agora em medicina em goiânia
1142083671874310145,ai sinceramente tem que ser muito corno mesmo pra precisar ir pra unb na sexta pós feriado
